Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(40)","Aroon - Aroon Up(High,20)","Aroon - Aroon Down(Low,20)","Historical Volatility - HV - HV(Close,20,251)","BOLLINGER BAND ® - BB - BBUpper(40,2)","BOLLINGER BAND ® - BB - BBLower(40,2)","Relative Strength Index - RSI - RSI(14)","Exponential Moving Average - EMA - EMA(10,Modern)"
11/17/2022,9:31 AM,390.46,390.95,390.34,390.91,661208,0,0,0,0,0,0,0,0
11/17/2022,9:32 AM,390.92,391.18,390.73,391.08,399793,0,0,0,0,0,0,0,0
11/17/2022,9:33 AM,391.09,391.25,390.82,391.17,323679,0,0,0,0,0,0,0,0
11/17/2022,9:34 AM,391.17,391.27,390.97,391.11,271871,0,0,0,0,0,0,0,0
11/17/2022,9:35 AM,391.11,391.11,390.741,390.9,177342,0,0,0,0,0,0,0,0
11/17/2022,9:36 AM,390.8801,391.26,390.87,391.2287,240163,0,0,0,0,0,0,0,0
11/17/2022,9:37 AM,391.21,391.33,390.96,391,193948,0,0,0,0,0,0,0,0
11/17/2022,9:38 AM,391.02,391.02,390.52,390.61,179892,0,0,0,0,0,0,0,0
11/17/2022,9:39 AM,390.62,391.0399,390.57,390.96,205684,0,0,0,0,0,0,0,0
11/17/2022,9:40 AM,390.9624,390.965,390.7101,390.848,200234,0,0,0,0,0,0,0,390.98167
11/17/2022,9:41 AM,390.83,391.33,390.57,391.21,311253,0,0,0,0,0,0,0,391.023184545455
11/17/2022,9:42 AM,391.2,391.32,390.9,391.2587,152266,0,0,0,0,0,0,0,391.06600553719
11/17/2022,9:43 AM,391.25,391.25,391.01,391.08,102975,0,0,0,0,0,0,0,391.068549984974
11/17/2022,9:44 AM,391.09,391.16,390.92,391.09,98977,0,0,0,0,0,0,0,391.072449987706
11/17/2022,9:45 AM,391.09,391.33,391.04,391.26,127170,0,0,0,0,0,0,56.4604252805666,391.106549989941
11/17/2022,9:46 AM,391.27,391.6,390.95,391.59,287355,0,0,0,0,0,0,61.5101520294012,391.19444999177
11/17/2022,9:47 AM,391.58,391.7,391.44,391.68,197570,0,0,0,0,0,0,62.7780832109525,391.282731811448
11/17/2022,9:48 AM,391.68,391.69,391.46,391.58,202909,0,0,0,0,0,0,60.3973562542429,391.336780573003
11/17/2022,9:49 AM,391.575,391.59,391.34,391.36,209093,0,0,0,0,0,0,55.4181414827887,391.341002287003
11/17/2022,9:50 AM,391.37,391.5,391.33,391.4499,103329,0,0,0,0,0,0,56.9789361428031,391.360801871184
11/17/2022,9:51 AM,391.4483,391.666,391.33,391.55,77095,0,80,0,0.881515433298143,0,0,58.7122142931277,391.395201530969
11/17/2022,9:52 AM,391.55,391.6,391.4,391.43,148356,0,75,30,0.881418458036865,0,0,55.809355085411,391.401528525338
11/17/2022,9:53 AM,391.44,391.46,391.07,391.14,177051,0,70,25,0.920714961805568,0,0,49.4467275241496,391.353977884367
